,Authors,Poems
258,Zack Magiezi,"Para onde vão as palavras  de amor não ditas?
Esquecidas em orfanatos por serem precoces demais

Envelhecidas em asilos..
por terem enrugado e perdido a independência

Amarradas em camisa de força
por serem insanas e incontroláveis

Suplicando nas sarjetas 
por precisarem de ajuda

Nas fotos dos desaparecidos
por um dia ter virado saudade

Se por ventura elas forem vistas por ai
diga que sinto fala.
sinto muita falta."
259,Desconhecido,"SAUDADE

Por que sinto falta de você? Por que esta saudade?
Eu não te vejo, mas imagino suas expressões, sua voz, seu cheiro.
Sua amizade me faz sonhar com um carinho,
Um caminhar à luz da lua, à beira-mar.
Saudade: este sentimento de vazio que me tira o sono, 
me fazendo sentir num triste abandono, é amizade, eu sei, será amor, talvez...
Só não quero perder sua amizade, esta amizade... 
Que me fortalece, me enobrece por ter você."
260,Charles Bukowski,"[...] isto não é um poema. Poemas são um tédio, eles te fazem dormir.
Estas palavras te arrastam para uma nova loucura.
Você foi abençoado, você foi atirado num
lugar que cega de tanta luz.
O elefante sonha com você agora.
A curva do espaço se curva e ri.
Você já pode morrer agora. Você já pode morrer do jeito que as pessoas deveriam morrer: esplêndidas, vitoriosas, ouvindo a música,
sendo a música, rugindo, rugindo, rugindo."
261,Cecília Meireles,"Motivo

Eu canto porque o instante existe
e a minha vida está completa.
Não sou alegre nem sou triste:
sou poeta.

Irmão das coisas fugidias,
não sinto gozo nem tormento.
Atravesso noites e dias
no vento.

Se desmorono ou se edifico,
se permaneço ou me desfaço,
— não sei, não sei. Não sei se fico
ou passo.

Sei que canto. E a canção é tudo.
Tem sangue eterno a asa ritmada.
E um dia sei que estarei mudo:
— mais nada."
262,Álvares de Azevedo,"Seio de Virgem

O que eu sonho noite e dia,
O que me dá poesia
E me torna a vida bela,
O que num brando roçar
Faz meu peito se agitar,
É o teu seio, donzela!

Oh! quem pintara o cetim
Desses limões de marfim,
Os leves cerúleos veios
Na brancura deslumbrante
E o tremido de teus seios?

Quando os vejo, de paixão
Sinto pruridos na mão
De os apalpar e conter...
Sorriste do meu desejo?
Loucura! bastava um beijo
Para neles se morrer!"
263,Machado de Assis,"No alto

O poeta chegara ao alto da montanha,
E quando ia a descer a vertente do oeste,
Viu uma cousa estranha,
Uma figura má.

Então, volvendo o olhar ao subtil, ao celeste,
Ao gracioso Ariel, que de baixo o acompanha,
Num tom medroso e agreste
Pergunta o que será.

Como se perde no ar um som festivo e doce,
Ou bem como se fosse
Um pensamento vão,

Ariel se desfez sem lhe dar mais resposta.
Para descer a encosta 
O outro lhe deu a mão."
264,Pablo Neruda,"Antes de amar-te, amor, nada era meu
Vacilei pelas ruas e as coisas: 
Nada contava nem tinha nome:
O mundo era do ar que esperava. 
E conheci salões cinzentos,
Túneis habitados pela lua,
Hangares cruéis que se despediam,
Perguntas que insistiam na areia.
Tudo estava vazio, morto e mudo,
Caído, abandonado e decaído,
Tudo era inalienavelmente alheio,
Tudo era dos outros e de ninguém,
Até que tua beleza e tua pobreza
De dádivas encheram o outono."
265,Mia Couto,"POEMA DA DESPEDIDA


Não saberei nunca
dizer adeus

Afinal, 
só os mortos sabem morrer

Resta ainda tudo,
só nós não podemos ser

Talvez o amor,
neste tempo,
seja ainda cedo

Não é este sossego
que eu queria,
este exílio de tudo,
esta solidão de todos

Agora 
não resta de mim
o que seja meu
e quando tento
o magro invento de um sonho
todo o inferno me vem à boca

Nenhuma palavra
alcança o mundo, eu sei
Ainda assim,
escrevo."
266,Manoel de Barros,"Experimentando a manhã dos galos

... poesias, a poesia é

- é como a boca
dos ventos
na harpa

nuvem
a comer na árvore
vazia que
desfolha a noite

raíz entrando
em orvalhos...

os silêncios sem poro

floresta que oculta
quem aparece
como quem fala
desaparece na boca

cigarra que estoura o
crepúsculo
que a contém

o beijo dos rios
aberto nos campos
espalmando em álacres
os pássaros

- e é livre
como um rumo
nem desconfiado..."
267,Mario Quintana,"CANÇÃO DO AMOR IMPREVISTO 

Eu sou um homem fechado.
O mundo me tornou egoísta e mau.
E a minha poesia é um vício triste,
Desesperado e solitário
Que eu faço tudo por abafar. 

Mas tu apareceste com a tua boca fresca de madrugada,
Com o teu passo leve,
Com esses teus cabelos...

E o homem taciturno ficou imóvel, sem compreender
nada, numa alegria atônita...

A súbita, a dolorosa alegria de um espantalho inútil
Aonde viessem pousar os passarinhos."
268,Bruno Bezerra,"TODA MULHER

Toda mulher deve ser amada
No dia-a-dia conquistada
No ser mãe endeusada
Na cama desejada
Na boca beijada
Na alegria multiplicada
No lar compartilhada
No seu dia festejada
Na tristeza consolada
Na queda levantada
Na luta encorajada
No trabalho motivada
No aniversário presenteada
Na alma massageada
Na beleza admirada
Na dificuldade ajudada
No cangote bem cheirada
Na vida abençoada
No mundo inteiro respeitada
E sempre que possível... abraçada."
269,Mario Quintana,"Canção do dia de sempre

Tão bom viver dia a dia...
A vida assim, jamais cansa...

Viver tão só de momentos
Como estas nuvens no céu...

E só ganhar, toda a vida,
Inexperiência... esperança...

E a rosa louca dos ventos
Presa à copa do chapéu.

Nunca dês um nome a um rio:
Sempre é outro rio a passar.

Nada jamais continua,
Tudo vai recomeçar!

E sem nenhuma lembrança
Das outras vezes perdidas,
Atiro a rosa do sonho
Nas tuas mãos distraídas..."
270,Fernando Pessoa,"Sou um guardador de rebanhos,
O rebanho é os meus pensamentos
E os meus pensamentos são todos sensações.
Penso com os olhos e com os ouvidos
E com as mãos e os pés
E com o nariz e a boca.

Pensar uma flor é vê-la e cheirá-la
E comer um fruto é saber-lhe o sentido.

Por isso quando num dia de calor
Me sinto triste de gozá-lo tanto,
E me deito ao comprido na erva,
E fecho os olhos quentes,
Sinto todo o meu corpo deitado na realidade,
Sei a verdade e sou feliz."
271,Carlos Drummond de Andrade,"""Entendo que a poesia é negócio de grande responsabilidade, e não considero rotular-se de poeta quem apenas verseje por dor-de-cotovelo, falta dinheiro ou momentânea tomada de contato com as forças líricas do mundo, sem SE entregar aos trabalhos cotidianos e secretos da técnica, da leitura, da contemplação e mesmo da ação. Até os poetas se armam, e um poeta desarmado é, mesmo um ser a mercê de inspirações fáceis, dóceis às modas e compromissos'"".

Carlos Drumond de Andrade"
272,Mario Quintana,"Se um poeta falar num gato
Se o poeta falar num gato, numa flor,
Num vento que anda por descampados e desvios
E nunca chegou à cidade...
Se falar numa esquina mal e mal iluminada...
Numa antiga sacada... num jogo de dominó...
Se falar naqueles obedientes soldadinhos de chumbo
[ que morriam de verdade...
Se falar na mão decepada no meio de uma escada de caracol...
Se não falar em nada
E disser simplesmente tralalá... Que importa?
Todos os poema são de amor!"
273,Desconhecido,"POESIA DE NATAL

Enfeite a árvore de sua vida
com guirlandas de gratidão!
Coloque no coração laços de cetim rosa,
amarelo, azul, carmim,
Decore seu olhar com luzes brilhantes
estendendo as cores em seu semblante

Em sua lista de presentes
em cada caixinha embrulhe
um pedacinho de amor,
carinho,
ternura,
reconciliação,
perdão!

Tem presente de montão
no estoque do nosso coração
e não custa um tostão!
A hora é agora!
Enfeite seu interior!
Sejas diferente!
Sejas reluzente!"
274,Manuel Alegre,"Coisa Amar

Contar-te longamente as perigosas
coisas do mar. Contar-te o amor ardente
e as ilhas que só há no verbo amar.
Contar-te longamente longamente.

Amor ardente. Amor ardente. E mar.
Contar-te longamente as misteriosas
maravilhas do verbo navegar.
E mar. Amar: as coisas perigosas.

Contar-te longamente que já foi
num tempo doce coisa amar. E mar.
Contar-te longamente como doi

desembarcar nas ilhas misteriosas.
Contar-te o mar ardente e o verbo amar.
E longamente as coisas perigosas."
275,Augusto Branco,"Poema da Noite

Já chorei vendo fotos e ouvindo musica;
Já liguei só para ouvir uma voz;
Me apaixonei por um sorriso;
Já pensei que fosse morrer de saudade;
E tive medo de perder alguém especial... (e acabei perdendo)
Já pulei e gritei de tanta felicidade;
Já vivi de amor e fiz muitas juras eternas... ""quebrei a cara muitas vezes!""
Já abracei para proteger;
Já dei risadas quando não podia;
Já fiz amigos eternos;
Amei e fui amado;
Mas também já fui rejeitado;
Fui amado e não amei..."
276,Florbela Espanca,"Saudades

Saudades! Sim... Talvez... e porque não?... Se o nosso sonho foi tão alto e forte. Que bem pensara vê-lo até à morte. Deslumbrar-me de luz o coração! Esquecer! Para quê?... Ah! como é vão! Que tudo isso, Amor, nos não importe. Se ele deixou beleza que conforte. Deve-nos ser sagrado como o pão! Quantas vezes, Amor, já te esqueci, Para mais doidamente me lembrar, Mais doidamente me lembrar de ti! E quem dera que fosse sempre assim: Quanto menos quisesse recordar. Mais a saudade andasse presa a mim!"
277,Clarice Pacheco,"Poesia por acaso

Sem inspiração
estou agora.
Tento atiçar a imaginação
mas ela demora.
Não consigo pensar em algo
que faça rimas.
É como querer acertar o alvo
com a flecha apontada para cima.
Não acho um bom assunto
que se organize bem em versos.
Mesmo sabendo que no mundo
há mil assuntos diversos.
Que coisa chata,
não consigo imaginar.
Isso quase me mata, 
porque é horrível não poder pensar.

Mas espere um momento,
mesmo não tendo um tema,
se estas frases vou relendo,
vejo que é um poema!"
278,William Shakespeare,"Soneto 18

Se te comparo a um dia de verão
És por certo mais belo e mais ameno
O vento espalha as folhas pelo chão
E o tempo do verão é bem pequeno.

Às vezes brilha o Sol em demasia
Outras vezes desmaia com frieza;
O que é belo declina num só dia,
Na terna mutação da natureza.

Mas em ti o verão será eterno,
E a beleza que tens não perderás;
Nem chegarás da morte ao triste inverno:

Nestas linhas com o tempo crescerás.
E enquanto nesta terra houver um ser,
Meus versos vivos te farão viver."
279,Olavo Bilac,"Ao coração que sofre, separado
Do teu, no exílio em que a chorar me vejo,
Não basta o afeto simples e sagrado
Com que das desventuras me protejo.

Não me basta saber que sou amado,
Nem só desejo o teu amor: desejo
Ter nos braços teu corpo delicado,
Ter na boca a doçura de teu beijo.

E as justas ambições que me consomem
Não me envergonham: pois maior baixeza
Não há que a terra pelo céu trocar;

E mais eleva o coração de um homem
Ser de homem sempre e, na maior pureza,
Ficar na terra e humanamente amar."
280,Florbela Espanca,"Ser poeta é ser mais alto, é ser maior
Do que os homens! Morder como quem beija!
É ser mendigo e dar como quem seja
Rei do Reino de Aquém e de Além Dor!

É ter de mil desejos o esplendor
E não saber sequer que se deseja!
É ter cá dentro um astro que flameja,
É ter garras e asas de condor!

É ter fome, é ter sede de Infinito!
Por elmo, as manhãs de oiro e de cetim...
É condensar o mundo num só grito!

E é amar-te, assim, perdidamente...
É seres alma, e sangue, e vida em mim
E dizê-lo cantando a toda a gente!"
281,Desconhecido,"Poeminha Amoroso

Este é um poema de amor 
tão meigo, tão terno, tão teu... 
É uma oferenda aos teus momentos 
de luta e de brisa e de céu... 
E eu, 
quero te servir a poesia 
numa concha azul do mar 
ou numa cesta de flores do campo. 
Talvez tu possas entender o meu amor. 
Mas se isso não acontecer, 
não importa. 
Já está declarado e estampado 
nas linhas e entrelinhas 
deste pequeno poema, 
o verso; 
o tão famoso e inesperado verso que 
te deixará pasmo, surpreso, perplexo... 
eu te amo, perdoa-me, eu te amo..."
282,Vinicius de Moraes,"Soneto do amigo

Enfim, depois de tanto erro passado 
Tantas retaliações, tanto perigo 
Eis que ressurge noutro o velho amigo 
Nunca perdido, sempre reencontrado.

É bom sentá-lo novamente ao lado 
Com olhos que contêm o olhar antigo 
Sempre comigo um pouco atribulado 
E como sempre singular comigo.

Um bicho igual a mim, simples e humano 
Sabendo se mover e comover 
E a disfarçar com o meu próprio engano.

O amigo: um ser que a vida não explica
Que só se vai ao ver outro nascer
E o espelho de minha alma multiplica..."
283,Vinícius de Moraes,"Pela luz dos olhos teus

Quando a luz dos olhos meus
E a luz dos olhos teus
Resolvem se encontrar
Ai que bom que isso é meu Deus
Que frio que me dá o encontro desse olhar
Mas se a luz dos olhos teus
Resiste aos olhos meus só p'ra me provocar
Meu amor, juro por Deus me sinto incendiar
Meu amor, juro por Deus
Que a luz dos olhos meus já não pode esperar
Quero a luz dos olhos meus
Na luz dos olhos teus sem mais lará-lará
Pela luz dos olhos teus
Eu acho meu amor que só se pode achar
Que a luz dos olhos meus precisa se casar."
284,Mario Quintana,"Se eu fosse um padre, eu, nos meus sermões,
não falaria em Deus nem no Pecado
— muito menos no Anjo Rebelado
e os encantos das suas seduções,

não citaria santos e profetas:
nada das suas celestiais promessas
ou das suas terríveis maldições...
Se eu fosse um padre eu citaria os poetas,

Rezaria seus versos, os mais belos,
desses que desde a infância me embalaram
e quem me dera que alguns fossem meus!

Porque a poesia purifica a alma
...e um belo poema — ainda que de Deus se aparte —
um belo poema sempre leva a Deus!"
285,Carlos Drummond de Andrade,"Ainda que mal

Ainda que mal pergunte,
ainda que mal respondas;
ainda que mal te entenda,
ainda que mal repitas;
ainda que mal insista,
ainda que mal desculpes;
ainda que mal me exprima,
ainda que mal me julgues;
ainda que mal me mostre,
ainda que mal me vejas;
ainda que mal te encare,
ainda que mal te furtes;
ainda que mal te siga,
ainda que mal te voltes;
ainda que mal te ame,
ainda que mal o saibas;
ainda que mal te agarre,
ainda que mal te mates;
ainda assim te pergunto
e me queimando em teu seio,
me salvo e me dano: amor."
286,Florbela Espanca,"Ser Poeta

Ser poeta é ser mais alto, é ser maior
Do que os homens! Morder como quem beija!
É ser mendigo e dar como quem seja
Rei do Reino de Aquém e de Além Dor!

É ter de mil desejos o esplendos
E não saber sequer que se deseja!
É ter cá dentro um astro que flameja,
É ter garras e asas de condor!

É ter fome, é ter sede de Infinito!
Por elmo, as manhãs de oiro e cetim…
É condensar o mundo num só grito!

E é amar-te, assim, perdidamente…
É seres alma e sangue e vida em mim
E dizê-lo cantando a toda a gente!"
287,Arthur Rimbaud,"Canção da Torre Mais Alta 

Mocidade presa 
A tudo oprimida 
Por delicadeza 
Eu perdi a vida. 
Ah! Que o tempo venha 
Em que a alma se empenha. 

Eu me disse: cessa, 
Que ninguém te veja: 
E sem a promessa 
De algum bem que seja. 
A ti só aspiro 
Augusto retiro. 

Tamanha paciência 
Não me hei de esquecer. 
Temor e dolência, 
Aos céus fiz erguer. 
E esta sede estranha 
A ofuscar-me a entranha. 

Qual o Prado imenso 
Condenado a olvido, 
Que cresce florido 
De joio e de incenso 
Ao feroz zunzum das 
Moscas imundas."
288,Vinicius de Moraes,"SONETO DO MAIOR AMOR 

Maior amor nem mais estranho existe 
Que o meu, que não sossega a coisa amada 
E quando a sente alegre, fica triste 
E se a vê descontente, dá risada. 

E que só fica em paz se lhe resiste 
O amado coração, e que se agrada 
Mais da eterna aventura em que persiste 
Que de uma vida mal-aventurada. 

Louco amor meu, que quando toca, fere 
E quando fere vibra, mas prefere 
Ferir a fenecer - e vive a esmo 

Fiel à sua lei de cada instante 
Desassombrado, doido, delirante 
Numa paixão de tudo e de si mesmo."
289,Boris Pasternak,"Definição de poesia 

Um risco maduro de assobio.
O trincar do gelo comprimido.
A noite, a folha sob o granizo.
Rouxinóis num dueto desafio.

Um doce ervilhal abandonado
A dor do universo numa fava.
Fígaro: das estantes e flautas –
Geada no canteiro, tombado.

Tudo o que para a noite releva
Nas funduras da casa de banho,
Trazer para o jardim uma estrela
Nas palmas úmidas, tiritando.

Mormaço: como pranchas na água,
Mais raso. Céu de bétulas, turvo.
Se dirá que as estrelas gargalham,
E no entanto o universo está surdo."
290,Vinicius de Moraes,"Soneto do Amor Total

Amo-te tanto, meu amor... não cante
O humano coração com mais verdade...
Amo-te como amigo e como amante
Numa sempre diversa realidade.

Amo-te afim, de um calmo amor prestante
E te amo além, presente na saudade.
Amo-te, enfim, com grande liberdade
Dentro da eternidade e a cada instante.

Amo-te como um bicho, simplesmente
De um amor sem mistério e sem virtude
Com um desejo maciço e permanente.

E de te amar assim, muito e amiúde
É que um dia em teu corpo de repente
Hei de morrer de amar mais do que pude."
291,William Shakespeare,"Soneto 116

De almas sinceras a união sincera
Nada há que impeça: amor não é amor
Se quando encontra obstáculos se altera,
Ou se vacila ao mínimo temor.
Amor é um marco eterno, dominante,
Que encara a tempestade com bravura;
É astro que norteia a vela errante,
Cujo valor se ignora, lá na altura.
Amor não teme o tempo, muito embora
Seu alfange não poupe a mocidade;
Amor não se transforma de hora em hora,
Antes se afirma para a eternidade.
Se isso é falso, e que é falso alguém provou,
Eu não sou poeta, e ninguém nunca amou."
292,Mia Couto,"O POETA

O poeta não gosta de palavras:
escreve para se ver livre delas.

A palavra
torna o poeta
pequeno e sem invenção.

Quando,
sobre o abismo da morte,
o poeta escreve terra,
na palavra ele se apaga
e suja a página de areia.

Quando escreve sangue
o poeta sangra
e a única veia que lhe dói
é aquela que ele não sente.

Com raiva,
o poeta inicia a escrita
como um rio desflorando o chão.
Cada palavra é um vidro em que se corta.

O poeta não quer escrever.
Apenas ser escrito.

Escrever, talvez,
apenas enquanto dorme."
293,Fernando Pessoa,"O amor, quando se revela,
Não se sabe revelar.
Sabe bem olhar p'ra ela,
Mas não lhe sabe falar.

Quem quer dizer o que sente
Não sabe o que há de dizer.
Fala: parece que mente...
Cala: parece esquecer...

Ah, mas se ela adivinhasse,
Se pudesse ouvir o olhar, 
E se um olhar lhe bastasse
P'ra saber que a estão a amar!

Mas quem sente muito, cala;
Quem quer dizer quanto sente
Fica sem alma nem fala,
Fica só, inteiramente!

Mas se isto puder contar-lhe
O que não lhe ouso contar,
Já não terei que falar-lhe
Porque lhe estou a falar..."
294,Pablo Neruda,"Já não se encantarão os meus olhos nos teus olhos, 
já não se adoçará junto a ti a minha dor.

Mas para onde vá levarei o teu olhar 
e para onde caminhes levarás a minha dor.

Fui teu, foste minha. O que mais? Juntos fizemos 
uma curva na rota por onde o amor passou.

Fui teu, foste minha. Tu serás daquele que te ame, 
daquele que corte na tua chácara o que semeei eu.

Vou-me embora. Estou triste: mas sempre estou triste. 
Venho dos teus braços. Não sei para onde vou.

...Do teu coração me diz adeus uma criança. 
E eu lhe digo adeus."
295,Vinicius de Moraes,"Soneto de Fidelidade

De tudo ao meu amor serei atento
Antes, e com tal zelo, e sempre, e tanto
Que mesmo em face do maior encanto
Dele se encante mais meu pensamento.

Quero vivê-lo em cada vão momento
E em seu louvor hei de espalhar meu canto
E rir meu riso e derramar meu pranto
Ao seu pesar ou seu contentamento

E assim, quando mais tarde me procure
Quem sabe a morte, angústia de quem vive
Quem sabe a solidão, fim de quem ama

Eu possa me dizer do amor (que tive):
Que não seja imortal, posto que é chama
Mas que seja infinito enquanto dure."
296,William Shakespeare,"SONETO LXXXVIII

Quando me tratas mal e, desprezado, 
Sinto que o meu valor vês com desdém, 
Lutando contra mim, fico a teu lado 
E, inda perjuro, provo que és um bem. 
Conhecendo melhor meus próprios erros, 
A te apoiar te ponho a par da história 
De ocultas faltas, onde estou enfermo; 
Então, ao me perder, tens toda a glória. 
Mas lucro também tiro desse ofício: 
Curvando sobre ti amor tamanho, 
Mal que me faço me traz benefício, 
Pois o que ganhas duas vezes ganho. 
Assim é o meu amor e a ti o reporto: 
Por ti todas as culpas eu suporto."
297,Carlos Drummond de Andrade,"As sem-razões do amor

Eu te amo porque te amo,
Não precisas ser amante,
e nem sempre sabes sê-lo.
Eu te amo porque te amo.
Amor é estado de graça
e com amor não se paga.

Amor é dado de graça,
é semeado no vento,
na cachoeira, no eclipse.
Amor foge a dicionários
e a regulamentos vários.

Eu te amo porque não amo
bastante ou demais a mim.
Porque amor não se troca,
não se conjuga nem se ama.
Porque amor é amor a nada,
feliz e forte em si mesmo.

Amor é primo da morte,
e da morte vencedor,
por mais que o matem (e matam)
a cada instante de amor."
298,Carlos Drummond de Andrade,"Para Sempre 

Por que Deus permite
que as mães vão-se embora?
Mãe não tem limite,
é tempo sem hora,
luz que não apaga
quando sopra o vento
e chuva desaba,
veludo escondido
na pele enrugada,
água pura, ar puro,
puro pensamento. 
Morrer acontece
com o que é breve e passa
sem deixar vestígio.
Mãe, na sua graça,
é eternidade.
Por que Deus se lembra
- mistério profundo -
de tirá-la um dia?
Fosse eu Rei do Mundo,
baixava uma lei:
Mãe não morre nunca,
mãe ficará sempre
junto de seu filho
e ele, velho embora,
será pequenino
feito grão de milho."
299,Rainer Maria Rilke,"Frases do Livro Cartas a um jovem poeta...

Não busque por enquanto respostas que não lhe podem ser dadas, porque não as poderia viver.

Viva por enquanto as perguntas. Talvez depois, aos poucos, sem que o perceba, num dia longínquo, consiga viver as respostas.

... Desejo que encontre bastante paciência em si para suportar e bastante simplicidade para crer; que confie cada vez mais no que é difícil, entre outras coisas na sua solidão. No restante deixe a vida acontecer. Acredite-me : a vida tem razão em todos os casos.

Toda dúvida pode se tornar uma qualidade se a educarmos..."
300,Augusto dos Anjos,"Psicologia de um vencido

Eu, filho do carbono e do amoníaco,
Monstro de escuridão e rutilância,
Sofro, desde a epigênese da infância,
A influência má dos signos do zodíaco.

Profundissimamente hipocondríaco, 
Este ambiente me causa repugnância... 
Sobe-me à boca uma ânsia análoga à ânsia 
Que se escapa da boca de um cardíaco.

Já o verme — este operário das ruínas —
Que o sangue podre das carnificinas 
Come, e à vida em geral declara guerra,

Anda a espreitar meus olhos para roê-los, 
E há-de deixar-me apenas os cabelos, 
Na frialdade inorgânica da terra!"
301,Mario Quintana,"EU QUERIA TRAZER-TE UNS VERSOS MUITO LINDOS 

Eu queria trazer-te uns versos muito lindos
colhidos no mais íntimo de mim...
Suas palavras
seriam as mais simples do mundo, 
porém não sei que luz as iluminaria
que terias de fechar teus olhos para as ouvir...
Sim! Uma luz que viria de dentro delas,
como essa que acende inesperadas cores
nas lanternas chinesas de papel!
Trago-te palavras, apenas... e que estão escritas
do lado de fora do papel... Não sei, eu nunca soube o que dizer-te
e este poema vai morrendo, ardente e puro, ao vento
da Poesia...
como
uma pobre lanterna que incendiou!"
302,Florbela Espanca,"Ser poeta



Ser poeta é ser mais alto, é ser maior

Do que os homens! Morder como quem beija!

É ser mendigo e dar como quem seja

Rei do Reino de Aquém e de Além Dor!



É ter de mil desejos o esplendor

E não saber sequer que se deseja!

É ter cá dentro um astro que flameja,

É ter garras e asas de condor!



É ter fome, é ter sede de Infinito!

Por elmo, as manhãs de oiro e de cetim...

É condensar o mundo num só grito!



E é amar-te, assim, perdidamente...

É seres alma, e sangue, e vida em mim

E dizê-lo cantando a toda a gente!"
303,José Saramago,"Retrato do Poeta Quando Jovem

Há na memória um rio onde navegam
Os barcos da infância, em arcadas
De ramos inquietos que despregam
Sobre as águas as folhas recurvadas.

Há um bater de remos compassado
No silêncio da lisa madrugada,
Ondas brancas se afastam para o lado
Com o rumor da seda amarrotada.

Há um nascer do sol no sítio exacto,
À hora que mais conta duma vida,
Um acordar dos olhos e do tacto,
Um ansiar de sede inextinguida.

Há um retrato de água e de quebranto
Que do fundo rompeu desta memória,
E tudo quanto é rio abre no canto
Que conta do retrato a velha história."
304,Sociedade dos Poetas Mortos,"-Vocês estão vendo estas fotos meninos? 
-Os jovens que estão nesses quadros, planejam revolucionar o mundo e transformar suas vidas em algo magnífico. Isso foi há 70 anos. Agora estão todos mortos. Quantos tiveram uma vida realmente feliz? Quantos realizaram seus sonhos? Aí o professor inclina para o grupo e murmura para que todos o ouçam: 
- Aproveitem o seu dia. Vivam o presente. 
Confiança é saber que somos limitados, que não podemos adivinhar o que está por vir que jamais controlaremos todas as “possibilidades” e que nossa única saída é viver intensamente a realidade, seja boa ou ruim."
305,Vinicius de Moraes,"POEMA DOS OLHOS DA AMADA

Ó minha amada 
Que olhos os teus 
São cais noturnos 
Cheios de adeus 
São docas mansas 
Trilhando luzes 
Que brilham longe 
Longe nos breus... 

Ó minha amada 
Que olhos os teus 
Quanto mistério 
Nos olhos teus 
Quantos saveiros 
Quantos navios 
Quantos naufrágios 
Nos olhos teus... 

Ó minha amada 
Que olhos os teus 
Se Deus houvera 
Fizera-os Deus 
Pois não os fizera 
Quem não soubera 
Que há muitas eras 
Nos olhos teus. 

Ah, minha amada 
De olhos ateus 
Cria a esperança 
Nos olhos meus 
De verem um dia 
O olhar mendigo 
Da poesia 
Nos olhos teus."
306,Milan Kundera,"O mais pesado dos fardos nos esmaga, nos faz dobrar sob ele, nos esmaga contra o chão. Na poesia amorosa de todos os séculos, porém, a mulher deseja receber o peso do corpo masculino. O fardo mais pesado é, portanto, ao mesmo tempo a imagem da mais intensa realização vital. Quanto mais pesado o fardo, mais próxima da terra está nossa vida, e mais ela é real e verdadeira.
Por outro lado, a ausência total de fardo faz com que ele voe, se distancie da terra, do ser terrestre, faz com que ele se torne semi-real, que seus movimentos sejam tão livres quanto insignificante.
(A insustentável leveza do ser - A leveza eo Peso)"
307,Machado de Assis,"Círculo Vicioso

Bailando no ar, gemia inquieto vaga-lume:
- Quem me dera que fosse aquela loura estrela,
que arde no eterno azul, como uma eterna vela !
Mas a estrela, fitando a lua, com ciúme:

- Pudesse eu copiar o transparente lume, 
que, da grega coluna á gótica janela,
contemplou, suspirosa, a fronte amada e bela !
Mas a lua, fitando o sol, com azedume:

- Misera ! tivesse eu aquela enorme, aquela 
claridade imortal, que toda a luz resume !
Mas o sol, inclinando a rutila capela:

- Pesa-me esta brilhante aureola de nume... 
Enfara-me esta azul e desmedida umbela...
Porque não nasci eu um simples vaga-lume?"
308,Charles Bukowski,"""Um bom poema é como uma cerveja gelada
quando você está mais a fim,
um bom poema é um sanduíche de presunto,
quando você está faminto,
um bom poema é uma arma quando
os bandidos te cercam,
um bom poema é algo que
te permite andar pelas ruas da morte,
um bom poema pode fazer a morte
derreter feito manteiga,
um bom poema pode enquadrar a agonia e
pendurá-la na parede,
um bom poema pode fazer
seu pé tocar a China,
um bom poema pode fazer
você cumprimentar Mozart,
um bom poema permite você competir
com o diabo e ganhar,
um bom poema pode quase tudo,
isso sem dizer que
um bom poema sabe quando
parar."""
309,Carlos Drummond de Andrade,"Mãos dadas 

Não serei o poeta de um mundo caduco.
Também não cantarei o mundo futuro.
Estou preso à vida e olho meus companheiros.
Estão taciturnos mas nutrem grandes esperanças.
Entre eles, considero a enorme realidade.
O presente é tão grande, não nos afastemos.
Não nos afastemos muito, vamos de mãos dadas.

Não serei o cantor de uma mulher, de uma história,
não direi os suspiros ao anoitecer, a paisagem vista da janela,
não distribuirei entorpecentes ou cartas de suicida,
não fugirei para as ilhas nem serei raptado por serafins.
O tempo é a minha matéria, o tempo presente, os homens presentes,
a vida presente."
310,Castro Alves,"A Duas Flores 

São duas flores unidas
São duas rosas nascidas
Talvez do mesmo arrebol,
Vivendo,no mesmo galho,
Da mesma gota de orvalho,
Do mesmo raio de sol.

Unidas, bem como as penas
das duas asas pequenas
De um passarinho do céu...
Como um casal de rolinhas,
Como a tribo de andorinhas
Da tarde no frouxo véu.

Unidas, bem como os prantos,
Que em parelha descem tantos
Das profundezas do olhar...
Como o suspiro e o desgosto,
Como as covinhas do rosto,
Como as estrelas do mar.

Unidas... Ai quem pudera
Numa eterna primavera
Viver, qual vive esta flor.
Juntar as rosas da vida
Na rama verde e florida,
Na verde rama do amor!"
311,Fernando Pessoa,"Escrever é esquecer. A literatura é a maneira mais agradável de ignorar a vida. A música embala, as artes visuais animam, as artes vivas (como a dança e a arte de representar) entretêm. A primeira, porém, afasta-se da vida por fazer dela um sono; as segundas, contudo, não se afastam da vida - umas porque usam de fórmulas visíveis e portanto vitais, outras porque vivem da mesma vida humana. 
Não é o caso da literatura. Essa simula a vida. Um romance é uma história do que nunca foi e um drama é um romance dado sem narrativa. Um poema é a expressão de ideias ou de sentimentos em linguagem que ninguém emprega, pois que ninguém fala em verso."
